N_in_packets,N_out_packets,in_first_thirty,out_first_thirty,out_fraction,in_fraction,out_std,in_std,out_mean,in_mean,N_packets,time_fraction,sum_N,incoming_packets_size,outgoing_packets_size,total_packets_size,y
1300,121,21,9,0.0851513019,0.914848698,398.4863354,515.4839532,705.1061538,774.322314,1421,140.1380671,2842,-665600,61952,-603648,0
438,80,22,8,0.154440154,0.845559846,150.5911461,139.2319507,265.4063927,227.1625,518,50.98425197,1036,-224256,40960,-183296,0
1240,118,23,7,0.086892489,0.913107511,381.8786418,472.7355082,669.2596774,787.1101695,1358,122.2322232,2716,-634880,60416,-574464,0
1324,122,21,9,0.0843706777,0.915629322,406.2052885,513.9160376,714.5030211,821.1393443,1446,108.2335329,2892,-677888,62464,-615424,0
1291,115,22,8,0.0817923186,0.918207681,395.0288894,503.9934902,695.7405112,790.6086957,1406,132.1428571,2812,-660992,58880,-602112,0
491,68,22,8,0.121645796,0.878354204,160.9670509,161.2141721,284.0753564,250.5735294,559,52.04841713,1118,-251392,34816,-216576,0
1261,115,23,7,0.0835755814,0.916424419,386.9542191,481.7139607,678.1784298,801.6782609,1376,86.86868687,2752,-645632,58880,-586752,0
1277,126,22,8,0.0898075552,0.910192445,394.346698,488.0052272,691.5677369,807.7301587,1403,158.5310734,2806,-653824,64512,-589312,0
494,70,22,8,0.124113475,0.875886525,161.5978177,169.4687473,285.6639676,260.1714286,564,47.71573604,1128,-252928,35840,-217088,0
490,74,22,8,0.131205674,0.868794326,162.4325979,163.4145004,286.0102041,259.2567568,564,45.66801619,1128,-250880,37888,-212992,0
1306,117,22,8,0.0822206606,0.917779339,399.775986,508.2418494,703.4012251,807.982906,1423,111.6078431,2846,-668672,59904,-608768,0
500,67,22,8,0.118165785,0.881834215,162.4912322,169.9711178,287.538,257.5970149,567,46.28571429,1134,-256000,34304,-221696,0
492,71,22,8,0.126110124,0.873889876,162.1446144,162.4521403,285.9939024,254.3239437,563,39.50877193,1126,-251904,36352,-215552,0
1327,116,22,8,0.0803880804,0.91961192,405.6371624,516.8925188,714.0203466,813.2844828,1443,135.2389878,2886,-679424,59392,-620032,0
1316,136,22,8,0.0936639118,0.906336088,406.6674515,500.9794065,711.0972644,875.5441176,1452,132.967033,2904,-673792,69632,-604160,0
