N_in_packets,N_out_packets,in_first_thirty,out_first_thirty,out_fraction,in_fraction,out_std,in_std,out_mean,in_mean,N_packets,time_fraction,sum_N,incoming_packets_size,outgoing_packets_size,total_packets_size,y
1300,121,21,9,0.0851513019,0.914848698,398.4863354,515.4839532,705.1061538,774.322314,1421,140.1380671,2842,-665600,61952,-603648,1
438,80,22,8,0.154440154,0.845559846,150.5911461,139.2319507,265.4063927,227.1625,518,50.98425197,1036,-224256,40960,-183296,1
1240,118,23,7,0.086892489,0.913107511,381.8786418,472.7355082,669.2596774,787.1101695,1358,122.2322232,2716,-634880,60416,-574464,1
1324,122,21,9,0.0843706777,0.915629322,406.2052885,513.9160376,714.5030211,821.1393443,1446,108.2335329,2892,-677888,62464,-615424,1
1291,115,22,8,0.0817923186,0.918207681,395.0288894,503.9934902,695.7405112,790.6086957,1406,132.1428571,2812,-660992,58880,-602112,1
491,68,22,8,0.121645796,0.878354204,160.9670509,161.2141721,284.0753564,250.5735294,559,52.04841713,1118,-251392,34816,-216576,1
1261,115,23,7,0.0835755814,0.916424419,386.9542191,481.7139607,678.1784298,801.6782609,1376,86.86868687,2752,-645632,58880,-586752,1
1277,126,22,8,0.0898075552,0.910192445,394.346698,488.0052272,691.5677369,807.7301587,1403,158.5310734,2806,-653824,64512,-589312,1
494,70,22,8,0.124113475,0.875886525,161.5978177,169.4687473,285.6639676,260.1714286,564,47.71573604,1128,-252928,35840,-217088,1
490,74,22,8,0.131205674,0.868794326,162.4325979,163.4145004,286.0102041,259.2567568,564,45.66801619,1128,-250880,37888,-212992,1
1306,117,22,8,0.0822206606,0.917779339,399.775986,508.2418494,703.4012251,807.982906,1423,111.6078431,2846,-668672,59904,-608768,1
500,67,22,8,0.118165785,0.881834215,162.4912322,169.9711178,287.538,257.5970149,567,46.28571429,1134,-256000,34304,-221696,1
492,71,22,8,0.126110124,0.873889876,162.1446144,162.4521403,285.9939024,254.3239437,563,39.50877193,1126,-251904,36352,-215552,1
1327,116,22,8,0.0803880804,0.91961192,405.6371624,516.8925188,714.0203466,813.2844828,1443,135.2389878,2886,-679424,59392,-620032,1
1316,136,22,8,0.0936639118,0.906336088,406.6674515,500.9794065,711.0972644,875.5441176,1452,132.967033,2904,-673792,69632,-604160,1
482,70,22,8,0.126811594,0.873188406,159.3120275,157.5730482,279.939834,252.8142857,552,47.01873935,1104,-246784,35840,-210944,1
492,72,23,7,0.127659574,0.872340426,162.5187859,163.3988666,285.4369919,262.4305556,564,53.91969407,1128,-251904,36864,-215040,1
1302,115,23,7,0.0811573747,0.918842625,397.4590106,512.7628993,700.4239631,806.0956522,1417,133.0516432,2834,-666624,58880,-607744,1
492,68,22,8,0.121428571,0.878571429,161.4257985,159.7221386,284.9207317,248.5147059,560,24.22145329,1120,-251904,34816,-217088,1
1079,99,22,8,0.084040747,0.915959253,329.2394315,435.4768854,583.3364226,656.6767677,1178,40.94542927,2356,-552448,50688,-501760,1
517,112,21,9,0.178060413,0.821939587,182.5283387,171.2504422,323.8781431,274.0178571,629,15.88785047,1258,-264704,57344,-207360,1
3468,1604,20,10,0.316246057,0.683753943,1184.912527,1241.757034,1969.078431,3763.319202,5072,97.05319556,10144,-1775616,821248,-954368,1
3444,1577,21,9,0.31408086,0.68591914,1194.294926,1209.74869,1960.071138,3714.169943,5021,254.6146045,10042,-1763328,807424,-955904,1
3576,1645,21,9,0.315073741,0.684926259,1233.00642,1286.388012,2039.950224,3852.382371,5221,282.9810298,10442,-1830912,842240,-988672,1
873,163,21,9,0.157335907,0.842664093,294.0417853,313.0285868,533.2623139,439.4355828,1036,105.8222676,2072,-446976,83456,-363520,1
860,159,21,9,0.156035329,0.843964671,287.9839773,316.1703266,523.1697674,438.7672956,1019,93.31501832,2038,-440320,81408,-358912,1
3548,1635,21,9,0.31545437,0.68454563,1229.130445,1280.445778,2029.243236,3813.199388,5183,260.8454957,10366,-1816576,837120,-979456,1
882,146,20,10,0.142023346,0.857976654,291.9540349,311.2539388,528.4444444,430.260274,1028,103.006012,2056,-451584,74752,-376832,1
3440,1455,21,9,0.297242084,0.702757916,1172.138142,1261.030984,1961.94593,3597.158763,4895,213.7554585,9790,-1761280,744960,-1016320,1
3471,1479,21,9,0.298787879,0.701212121,1217.689917,1167.129743,1971.925382,3657.317106,4950,251.6522623,9900,-1777152,757248,-1019904,1
3524,1527,21,9,0.302316373,0.697683627,1203.851265,1219.056897,1988.936152,3765.43222,5051,255.4881133,10102,-1804288,781824,-1022464,1
3471,1490,20,10,0.300342673,0.699657327,1197.73443,1234.218024,1977.849899,3653.103356,4961,310.6449593,9922,-1777152,762880,-1014272,1
666,121,21,9,0.153748412,0.846251588,227.5489637,213.3381998,406.0465465,327.6942149,787,34.74613687,1574,-340992,61952,-279040,1
864,152,22,8,0.149606299,0.850393701,287.4577948,316.2581516,520.2743056,441.5723684,1016,50.22244192,2032,-442368,77824,-364544,1
3570,1543,22,8,0.301779777,0.698220223,1200.814631,1260.657885,2010.046218,3822.473104,5113,122.3205742,10226,-1827840,790016,-1037824,1
3625,1476,21,9,0.289355028,0.710644972,1274.991261,1276.132181,2081.26731,3704.645664,5101,90.26720934,10202,-1856000,755712,-1100288,1
3468,1480,20,10,0.299110752,0.700889248,1220.869932,1214.750833,1988.194925,3614.031081,4948,276.1160714,9896,-1775616,757760,-1017856,1
866,168,20,10,0.162475822,0.837524178,294.023407,311.7766007,530.7066975,449.422619,1034,103.7111334,2068,-443392,86016,-357376,1
3522,1570,21,9,0.308326787,0.691673213,1202.837698,1265.811784,2001.649631,3768.769427,5092,249.6078431,10184,-1803264,803840,-999424,1
3457,1571,20,10,0.312450278,0.687549722,1216.661745,1232.914819,1986.259184,3676.898791,5028,89.94633274,10056,-1769984,804352,-965632,1
4241,434,22,8,0.0928342246,0.907165775,1358.214524,1260.54254,2332.455789,2392.177419,4675,591.0240202,9350,-2171392,222208,-1949184,1
5124,446,22,8,0.0800718133,0.919928187,1616.07092,1495.50004,2803.598361,2577.571749,5570,313.9797069,11140,-2623488,228352,-2395136,1
4249,447,22,8,0.0951873935,0.904812606,1355.855323,1340.296171,2329.725112,2526.966443,4696,363.1863882,9392,-2175488,228864,-1946624,1
4286,429,22,8,0.0909862142,0.909013786,1370.76159,1259.418367,2352.896407,2408.988345,4715,661.2903226,9430,-2194432,219648,-1974784,1
4344,436,23,7,0.0912133891,0.908786611,1390.55961,1267.78559,2386.658149,2428.777523,4780,541.9501134,9560,-2224128,223232,-2000896,1
5260,463,22,8,0.080901625,0.919098375,1659.96649,1549.813211,2876.862357,2693.153348,5723,322.786238,11446,-2693120,237056,-2456064,1
4242,430,22,8,0.0920376712,0.907962329,1357.866804,1254.320174,2334.08298,2360.344186,4672,621.2765957,9344,-2171904,220160,-1951744,1
4296,405,22,8,0.0861518826,0.913848117,1357.160559,1336.243519,2330.208333,2571.545679,4701,398.7277354,9402,-2199552,207360,-1992192,1
4322,421,23,7,0.0887623867,0.911237613,1376.403233,1290.046535,2364.205229,2452.021378,4743,281.1499704,9486,-2212864,215552,-1997312,1
4337,429,21,9,0.0900125892,0.909987411,1385.139668,1277.670469,2381.431404,2404.412587,4766,559.3896714,9532,-2220544,219648,-2000896,1
4264,422,21,9,0.0900554844,0.909944516,1362.515287,1249.461223,2341.83818,2360.291469,4686,577.8051788,9372,-2183168,216064,-1967104,1
5096,449,22,8,0.0809738503,0.91902615,1608.286964,1499.740949,2789.211146,2589.008909,5545,627.2624434,11090,-2609152,229888,-2379264,1
4359,427,22,8,0.0892185541,0.910781446,1388.11671,1309.283855,2384.006653,2490.412178,4786,508.607864,9572,-2231808,218624,-2013184,1
4320,413,22,8,0.0872596662,0.912740334,1372.716954,1297.209283,2365.855324,2378.973366,4733,263.2369299,9466,-2211840,211456,-2000384,1
3879,417,23,7,0.0970670391,0.902932961,1229.066586,1298.046949,2114.995102,2460.167866,4296,82.2043628,8592,-1986048,213504,-1772544,1
