unmon_N_in_packets,unmon_N_out_packets,unmon_in_first_thirty,unmon_out_first_thirty,unmon_out_fraction,unmon_in_fraction,unmon_out_std,unmon_in_std,unmon_out_mean,unmon_in_mean,unmon_N_packets,unmon_time_fraction,unmon_sum_N,unmon_incoming_packets_size,unmon_outgoing_packets_size,unmon_total_packets_size,y
101,29,17,13,0.223076923,0.776923077,36.30469635,27.05378445,73.46534653,37.75862069,130,23.38129496,260,-51712,14848,-36864,-1
9189,738,18,12,0.0743427017,0.925657298,2845.096286,2885.461055,5053.770595,3846.246612,9927,835.6060606,19854,-4704768,377856,-4326912,-1
285,74,17,13,0.206128134,0.793871866,100.730751,111.1450439,185.9964912,156.9054054,359,20.15721505,718,-145920,37888,-108032,-1
9407,541,21,9,0.0543827905,0.945617209,2855.784563,3120.454082,4992.069735,4668.994455,9948,1084.841876,19896,-4816384,276992,-4539392,-1
2215,293,27,3,0.116826156,0.883173844,716.3742414,778.7153762,1257.969752,1228.269625,2508,46.79977608,5016,-1134080,150016,-984064,-1
5189,241,27,3,0.0443830571,0.955616943,1560.981276,1685.439927,2726.231451,2484.439834,5430,428.2334385,10860,-2656768,123392,-2533376,-1
1258,70,18,12,0.0527108434,0.947289157,376.9259352,477.9582289,668.845787,586.4,1328,52.28346457,2656,-644096,35840,-608256,-1
4269,194,19,11,0.0434685189,0.956531481,1273.239363,1449.558564,2260.486765,1605.14433,4463,316.5248227,8926,-2185728,99328,-2086400,-1
4147,323,20,10,0.0722595078,0.927740492,1298.674082,1157.546945,2252.17169,2021.452012,4470,106.759016,8940,-2123264,165376,-1957888,-1
9543,428,17,13,0.042924481,0.957075519,2865.70623,3056.790204,5018.958713,4251.128505,9971,1024.768756,19942,-4886016,219136,-4666880,-1
9618,363,20,10,0.0363691013,0.963630899,2866.094477,3148.028145,5022.04242,4168.504132,9981,808.1781377,19962,-4924416,185856,-4738560,-1
8648,762,22,8,0.0809776833,0.919022317,2727.293373,2534.650366,4750.482771,4194.986877,9410,375.4988029,18820,-4427776,390144,-4037632,-1
1365,154,26,4,0.101382488,0.898617512,433.8056054,476.9458308,763.5128205,728.8636364,1519,128.6198137,3038,-698880,78848,-620032,-1
9295,661,21,9,0.0663921254,0.933607875,2836.579944,3175.100146,5053.387843,3925.425113,9956,251.160444,19912,-4759040,338432,-4420608,-1
6529,406,21,9,0.0585436193,0.941456381,1977.495525,2200.041456,3519.671313,2637.059113,6935,141.5595019,13870,-3342848,207872,-3134976,-1
912,142,21,9,0.134724858,0.865275142,301.5640878,269.1956573,552.8410088,364.7464789,1054,30.97267117,2108,-466944,72704,-394240,-1
3491,215,20,10,0.0580140313,0.941985969,1067.184254,1078.549719,1869.657978,1591.139535,3706,222.7163462,7412,-1787392,110080,-1677312,-1
9391,557,25,5,0.055991154,0.944008846,2853.069839,3105.045563,5011.293898,4354.156194,9948,729.3255132,19896,-4808192,285184,-4523008,-1
516,81,18,12,0.135678392,0.864321608,169.9261806,151.4063293,315.0116279,197,597,65.38882804,1194,-264192,41472,-222720,-1
43,12,22,8,0.218181818,0.781818182,16.00165621,13.97095201,29.60465116,22.25,55,11.24744376,110,-22016,6144,-15872,-1
4471,349,21,9,0.072406639,0.927593361,1360.162151,1660.537402,2450.301499,1900.60745,4820,90.49943673,9640,-2289152,178688,-2110464,-1
3488,175,20,10,0.0477750478,0.952224952,1046.981231,1178.907179,1851.948681,1434.394286,3663,251.2345679,7326,-1785856,89600,-1696256,-1
4533,339,22,8,0.0695812808,0.930418719,1405.766289,1382.917404,2458.182881,2146.563422,4872,122.7513228,9744,-2320896,173568,-2147328,-1
248,56,18,12,0.184210526,0.815789474,83.93970731,86.45983607,163.9072581,101.9821429,304,54.97287523,608,-126976,28672,-98304,-1
